credit_score,annual_income,loan_amount,employment_length_years,debt_to_income_ratio,num_previous_defaults,loan_term_months,interest_rate,home_ownership,loan_purpose,default
349,30691.15,29778.08,8.4,0.321,1,36,20.13,MORTGAGE,debt_consolidation,1
726,24996.79,6999.35,3.3,0.351,0,36,6.62,MORTGAGE,credit_card,0
660,90099.26,4767.89,7.1,0.351,0,36,12.58,RENT,debt_consolidation,0
541,145816.11,17833.59,7.8,0.19,0,36,13.51,MORTGAGE,major_purchase,0
538,39573.42,11957.0,3.4,0.163,2,36,14.18,OWN,home_improvement,0
773,27059.94,7417.86,9.4,0.093,0,36,8.8,OWN,debt_consolidation,0
347,17914.82,7429.63,1.5,0.3,1,36,21.62,MORTGAGE,debt_consolidation,1
684,43921.14,12273.05,0.2,0.048,1,36,10.78,RENT,debt_consolidation,1
411,42515.99,24621.39,2.2,0.206,0,36,19.14,RENT,major_purchase,1
351,36567.56,34356.21,2.5,0.06,0,60,21.59,RENT,debt_consolidation,0
590,54155.72,38522.17,5.0,0.085,0,36,10.36,MORTGAGE,other,0
837,58561.22,34062.39,3.6,0.343,0,60,7.37,RENT,other,0
705,56691.95,28641.38,10.6,0.17,0,36,7.56,RENT,debt_consolidation,0
719,42520.59,40935.48,12.9,0.477,0,36,9.35,RENT,other,0
695,29859.85,23868.42,4.4,0.044,0,60,10.94,RENT,credit_card,0
733,66146.34,28867.7,9.3,0.17,0,60,8.16,MORTGAGE,debt_consolidation,0
582,49297.63,19111.3,14.0,0.096,2,36,13.48,MORTGAGE,other,0
370,73112.96,15404.9,4.5,0.14,0,36,16.07,RENT,credit_card,0
762,69949.86,15595.32,2.4,0.391,1,60,6.92,RENT,home_improvement,0
548,25853.65,7525.96,8.0,0.19,0,60,13.74,MORTGAGE,credit_card,0
575,25709.09,36050.3,9.5,0.237,0,60,12.73,RENT,credit_card,0
504,34891.78,3436.2,10.8,0.244,0,60,15.8,MORTGAGE,major_purchase,0
400,30475.57,30686.15,0.5,0.095,1,36,21.07,MORTGAGE,debt_consolidation,1
810,68862.24,39036.25,3.4,0.352,0,60,8.1,MORTGAGE,other,0
730,57416.64,22886.85,2.8,0.215,1,60,10.48,OWN,major_purchase,0
654,80389.01,4088.83,7.2,0.458,0,36,12.17,RENT,debt_consolidation,0
521,58595.84,19850.37,3.4,0.293,0,60,13.78,MORTGAGE,home_improvement,0
753,53846.48,16101.97,14.3,0.244,0,60,10.16,RENT,debt_consolidation,0
600,84109.8,44363.73,10.9,0.243,0,36,13.64,MORTGAGE,major_purchase,1
544,60559.24,31415.67,0.1,0.497,0,36,15.45,MORTGAGE,major_purchase,0
548,50546.32,32739.83,5.3,0.468,0,60,15.67,RENT,debt_consolidation,0
425,95435.31,23696.38,2.9,0.466,0,36,18.89,MORTGAGE,debt_consolidation,1
350,51628.62,32214.23,1.6,0.112,0,36,20.9,OWN,home_improvement,0
605,42746.68,32793.12,7.2,0.537,0,60,12.06,RENT,home_improvement,0
789,33623.47,3919.79,2.5,0.048,2,36,6.47,OWN,debt_consolidation,0
335,67262.72,10794.69,2.7,0.226,0,36,19.68,MORTGAGE,credit_card,1
772,85534.3,1570.57,3.0,0.183,0,36,4.7,MORTGAGE,credit_card,0
756,47917.48,23431.53,7.2,0.127,1,60,8.04,MORTGAGE,home_improvement,0
452,88305.88,39535.19,3.2,0.352,0,36,18.15,RENT,debt_consolidation,0
648,20201.12,27820.4,0.3,0.159,0,60,13.14,RENT,credit_card,0
391,47812.67,23009.13,7.4,0.311,0,60,18.4,MORTGAGE,debt_consolidation,0
717,48144.26,41742.5,5.1,0.255,1,36,9.66,MORTGAGE,other,0
685,35342.89,8577.61,0.7,0.213,1,60,10.11,RENT,debt_consolidation,0
495,143306.0,4282.59,1.8,0.282,0,36,16.52,OWN,credit_card,0
337,47582.17,41361.45,3.4,0.343,2,60,19.2,RENT,debt_consolidation,1
834,40803.42,40722.4,7.5,0.483,0,36,5.75,MORTGAGE,debt_consolidation,0
545,49596.87,31050.79,1.3,0.058,0,36,13.84,MORTGAGE,home_improvement,0
792,19905.15,11823.08,14.3,0.047,0,36,8.38,MORTGAGE,debt_consolidation,0
673,34823.91,43669.62,1.3,0.132,1,36,9.03,RENT,credit_card,0
728,76302.27,34675.24,1.1,0.226,0,36,9.93,MORTGAGE,home_improvement,0
718,36937.21,30651.36,13.5,0.178,0,60,10.88,RENT,other,0
407,33759.13,10808.1,11.4,0.227,0,36,17.08,MORTGAGE,credit_card,0
500,88369.89,23575.92,1.4,0.574,0,36,15.36,RENT,debt_consolidation,0
557,89600.35,37193.35,4.5,0.024,0,36,13.45,MORTGAGE,credit_card,0
574,61861.03,38851.45,7.4,0.129,0,60,15.9,RENT,debt_consolidation,0
324,39942.54,25702.93,0.1,0.258,0,60,22.91,RENT,credit_card,1
601,44012.9,24002.93,3.2,0.045,0,36,14.33,OWN,credit_card,0
385,34136.84,31698.09,6.6,0.562,1,60,20.0,MORTGAGE,credit_card,1
709,31330.65,24242.95,16.4,0.823,0,36,11.15,RENT,major_purchase,0
676,30638.5,19377.97,5.4,0.076,0,60,11.77,MORTGAGE,credit_card,0
808,37118.68,4758.44,0.9,0.13,0,60,9.13,RENT,major_purchase,0
710,30772.46,6546.19,0.0,0.28,0,36,10.12,MORTGAGE,major_purchase,0
502,24253.9,34452.12,0.7,0.401,1,36,13.16,MORTGAGE,credit_card,0
833,54107.67,2085.22,7.6,0.216,0,36,5.9,RENT,debt_consolidation,0
526,54478.86,3301.42,4.2,0.536,0,36,16.08,MORTGAGE,debt_consolidation,0
479,105383.01,40804.32,3.5,0.553,1,36,16.4,MORTGAGE,major_purchase,0
798,36288.19,31975.87,9.0,0.35,0,60,8.94,MORTGAGE,home_improvement,0
504,56007.75,1185.36,3.7,0.341,0,60,15.06,MORTGAGE,debt_consolidation,0
342,56427.99,14729.91,0.4,0.131,0,36,21.86,RENT,debt_consolidation,1
558,43729.28,34586.01,3.4,0.174,0,36,12.74,RENT,major_purchase,0
738,68524.74,19374.44,11.8,0.214,3,36,9.66,RENT,debt_consolidation,0
404,69484.09,21627.1,0.6,0.147,0,36,18.0,RENT,major_purchase,1
555,56802.46,21187.16,38.9,0.396,1,60,12.98,RENT,debt_consolidation,0
371,43693.83,9893.91,9.3,0.184,0,60,19.86,RENT,credit_card,0
678,41735.67,32741.22,0.9,0.087,0,36,9.55,OWN,debt_consolidation,0
562,26489.69,5532.28,0.7,0.153,0,60,15.3,RENT,debt_consolidation,0
481,34109.7,23319.05,8.4,0.294,1,60,16.3,MORTGAGE,credit_card,1
425,37052.7,8478.06,20.1,0.626,0,36,18.48,RENT,major_purchase,1
611,29561.04,3047.44,0.0,0.512,0,60,12.89,MORTGAGE,credit_card,0
669,59752.47,7302.73,4.6,0.483,0,36,11.94,RENT,debt_consolidation,0
818,83992.48,39250.74,3.2,0.183,3,60,6.1,OWN,credit_card,0
540,32577.33,8750.5,1.7,0.201,0,36,16.36,RENT,debt_consolidation,1
388,55689.6,13248.25,1.3,0.13,0,60,21.89,RENT,credit_card,1
758,30780.91,7076.17,0.6,0.38,0,36,7.35,OWN,debt_consolidation,0
647,42735.49,33363.98,2.1,0.085,0,60,13.82,RENT,major_purchase,0
685,35930.86,20599.76,9.3,0.224,0,36,10.14,RENT,major_purchase,0
353,64270.31,42519.94,0.5,0.1,3,36,19.85,RENT,home_improvement,1
472,36117.95,30230.28,12.4,0.327,0,36,18.01,RENT,credit_card,0
723,77284.38,24381.13,5.2,0.471,0,36,8.37,RENT,major_purchase,0
758,43889.29,29891.76,0.3,0.183,3,36,9.4,RENT,credit_card,0
539,36595.42,2778.72,6.6,0.056,0,60,15.71,RENT,credit_card,0
743,27889.7,42829.05,1.9,0.467,0,36,9.03,RENT,debt_consolidation,0
763,54936.98,43082.9,2.4,0.218,0,36,8.4,MORTGAGE,major_purchase,0
513,73339.03,13150.15,4.6,0.251,0,36,15.16,MORTGAGE,debt_consolidation,0
794,55436.56,28645.0,4.2,0.219,0,60,8.5,MORTGAGE,other,0
458,134252.05,9884.27,17.3,0.381,1,36,16.94,RENT,home_improvement,0
431,93284.04,25088.76,7.0,0.156,0,36,19.52,MORTGAGE,major_purchase,1
676,42685.41,34914.73,3.3,0.09,0,36,12.43,OWN,credit_card,0
650,42484.21,42352.16,2.6,0.463,0,36,10.07,OWN,debt_consolidation,0
377,60558.4,15925.54,1.8,0.08,1,36,18.17,OWN,credit_card,0
758,33620.5,31514.23,0.1,0.163,0,36,8.45,RENT,major_purchase,0
410,82853.54,32522.79,8.7,0.262,0,36,17.67,OWN,credit_card,1
743,57683.14,10730.55,1.9,0.244,1,36,8.29,RENT,debt_consolidation,0
304,55017.5,28677.41,5.7,0.564,0,36,20.9,RENT,credit_card,0
739,66778.01,29838.54,3.3,0.307,2,36,11.54,RENT,debt_consolidation,0
733,106433.26,34619.35,6.9,0.545,0,60,10.78,RENT,home_improvement,0
729,52940.82,44997.68,2.3,0.481,0,60,8.51,MORTGAGE,home_improvement,0
666,46589.56,2770.22,10.0,0.396,3,60,9.04,OWN,debt_consolidation,0
559,96656.99,9901.42,3.0,0.324,1,36,13.78,MORTGAGE,debt_consolidation,0
688,75765.45,7383.45,0.3,0.103,0,60,9.17,MORTGAGE,major_purchase,0
452,42427.8,7795.1,1.8,0.03,1,36,18.43,RENT,debt_consolidation,1
730,49135.34,20986.94,3.5,0.406,0,60,9.56,MORTGAGE,credit_card,0
606,53525.93,39655.61,10.2,0.108,1,60,12.41,RENT,credit_card,0
552,57688.66,20743.82,2.9,0.416,0,60,14.57,RENT,home_improvement,0
578,26622.98,30413.14,0.2,0.366,1,60,12.53,RENT,debt_consolidation,1
613,24486.62,17565.96,3.2,0.091,1,36,12.61,OWN,credit_card,0
320,32881.8,15065.19,3.9,0.49,1,36,23.38,RENT,major_purchase,1
377,31756.98,37706.35,3.3,0.153,0,36,18.94,OWN,home_improvement,1
435,36690.72,29844.09,26.5,0.033,0,36,18.19,MORTGAGE,credit_card,0
363,65226.41,16439.39,2.5,0.233,1,60,19.23,RENT,debt_consolidation,1
542,45432.45,41223.05,7.1,0.152,2,36,14.0,MORTGAGE,credit_card,0
668,53550.35,22934.51,6.1,0.394,1,36,12.29,MORTGAGE,home_improvement,0
660,28256.07,9284.09,1.9,0.286,0,60,10.04,OWN,major_purchase,1
559,39825.43,22261.76,0.3,0.02,1,60,14.25,RENT,major_purchase,0
771,63848.35,30686.78,5.6,0.128,0,36,7.24,RENT,credit_card,0
611,64069.81,17152.95,6.6,0.643,1,60,14.6,RENT,home_improvement,0
343,35381.41,38126.53,5.2,0.169,0,36,19.92,RENT,credit_card,1
721,52719.89,24458.34,4.1,0.249,1,60,8.23,MORTGAGE,debt_consolidation,0
616,131858.09,21581.65,9.2,0.059,0,60,12.61,MORTGAGE,debt_consolidation,0
649,48634.14,38783.3,2.5,0.041,0,60,11.66,RENT,home_improvement,0
611,35884.68,21368.38,1.3,0.29,1,60,14.27,OWN,home_improvement,0
605,45333.74,19234.05,3.0,0.148,0,36,12.47,RENT,home_improvement,0
349,51096.93,5563.52,11.4,0.186,0,36,21.08,RENT,debt_consolidation,0
608,45797.02,16949.64,4.7,0.244,1,60,11.84,RENT,credit_card,0
737,48333.99,18470.13,1.0,0.141,0,60,10.59,MORTGAGE,debt_consolidation,0
467,25602.59,8947.38,1.0,0.28,0,36,18.2,MORTGAGE,home_improvement,0
632,31787.11,26864.22,4.0,0.609,1,36,13.01,MORTGAGE,credit_card,0
316,45834.81,7329.05,2.7,0.306,1,36,22.53,RENT,debt_consolidation,1
491,45507.36,10842.35,0.6,0.153,0,36,16.75,OWN,debt_consolidation,0
540,37995.19,25688.05,5.5,0.048,0,36,15.15,RENT,debt_consolidation,0
841,45267.47,12835.28,9.5,0.438,0,36,4.88,MORTGAGE,credit_card,0
418,50385.4,29145.41,1.5,0.022,3,60,17.76,MORTGAGE,credit_card,1
452,73147.71,31382.58,3.9,0.078,0,36,18.59,RENT,debt_consolidation,1
525,46880.39,14256.78,0.2,0.363,0,60,16.42,RENT,credit_card,1
846,58664.87,4845.06,1.5,0.461,1,36,7.18,MORTGAGE,other,0
770,38417.94,22535.88,27.5,0.229,0,60,7.81,RENT,credit_card,0
319,63414.2,5087.53,6.9,0.384,0,36,23.46,RENT,credit_card,0
428,58051.08,23670.37,0.6,0.131,0,36,18.07,RENT,credit_card,0
752,72375.1,32953.59,7.7,0.057,0,36,9.4,MORTGAGE,credit_card,0
332,67579.31,28294.51,5.5,0.264,0,36,24.4,MORTGAGE,debt_consolidation,0
771,63890.82,20723.78,3.5,0.539,0,60,7.68,OWN,major_purchase,0
455,46897.15,42617.78,3.2,0.263,0,36,18.35,OWN,major_purchase,1
805,54733.03,5476.88,2.5,0.385,0,60,5.49,MORTGAGE,home_improvement,0
461,79108.77,39720.07,0.5,0.691,2,36,16.87,OWN,debt_consolidation,1
539,36554.75,36205.67,8.7,0.122,0,36,15.76,RENT,credit_card,0
664,36946.14,19468.5,4.9,0.103,1,36,10.67,RENT,credit_card,0
369,53190.98,7726.16,1.5,0.259,1,60,20.04,MORTGAGE,home_improvement,0
606,59093.48,7858.14,0.2,0.222,0,36,13.37,MORTGAGE,home_improvement,0
578,33831.65,41559.45,0.2,0.278,0,36,14.11,MORTGAGE,credit_card,0
